epoch,acc,loss,val_acc,val_loss
0,0.32508969313174296,1.7745323746658392,0.33351909344318886,1.8337423300952358
1,0.4252325054866035,1.5285560921186971,0.4275564325552493,1.5583286530902107
2,0.47483367585129754,1.4076299512725567,0.4917804515832611,1.371811087463569
3,0.5022118499430458,1.3358317147834642,0.49874618070708177,1.3500603415024217
4,0.5175032219871748,1.2813856839643691,0.5299526453267303,1.292273523690276
5,0.5328294263164586,1.2473554255517325,0.5087768294500521,1.3213092358323584
6,0.540109373369313,1.2219893153925676,0.5486207982210204,1.2140693288160487
7,0.5528579887845241,1.1947730905920233,0.5529395496427565,1.1982753421357704
8,0.555261416282685,1.180724224227819,0.5631095139150435,1.1639719367261865
9,0.5612177366024316,1.165110580695037,0.52716635326824,1.2763864816700758
10,0.5670347277898641,1.1519746052408721,0.5373363178207802,1.257649137990642
11,0.5743146748447946,1.1318292835172414,0.5430482150174576,1.2216012459315773
12,0.5780068967960991,1.121384865708052,0.5808024648924697,1.1212707401530162
13,0.5816991187474035,1.1144322007775136,0.5072443694827051,1.3543380124551003
14,0.5929151137284406,1.101572679918576,0.571468388793046,1.1820341678858883
15,0.5923577972106032,1.0926733450097488,0.5678462095581479,1.1997452180185966
16,0.5925319586234007,1.083784297180797,0.5697966136202304,1.1702160944409126
17,0.5954230380722039,1.0783443085065791,0.5314851051985836,1.2696632515015245
18,0.5994635828506603,1.0762459306786845,0.5796879483493267,1.1388534450087169
19,0.6011007001330317,1.0635734370743959,0.5996099322054439,1.0891547656606901
20,0.6045839283848271,1.0567609399952622,0.5941766640018308,1.1113078760646966
21,0.6082064857751649,1.0512020896563954,0.5905544848914895,1.113456643840693
22,0.6082413180546101,1.0497839833348974,0.5862357330130448,1.1335535208373124
23,0.6117245463115958,1.0371003286243667,0.589161339002371,1.1112648423820295
24,0.6097391062077818,1.0328951949065721,0.604207313315687,1.0659265770411077
25,0.6129436762011775,1.0310133008869047,0.6021175942225157,1.0977771740498092
26,0.6170538855421576,1.0266484412833388,0.5950125509395046,1.0853349915042616
27,0.6153122714136647,1.023484825842964,0.5682641530114152,1.1631651159015728
28,0.6190741579337214,1.013556648851201,0.5887433952688507,1.1037689243503253
29,0.6215124177128848,1.0123893359457423,0.5984954157141996,1.090768497504707
30,0.6186910028219339,1.0106944505886588,0.5902758557634886,1.1010311922397362
31,0.623811348358696,1.0045491619881444,0.5973808991710566,1.096386482947428
32,0.6239506774920481,1.0038067172689702,0.5770409710312926,1.1489447576597678
33,0.6283047128099065,0.9994055479437942,0.5888827102563446,1.1156023638818582
34,0.6254136333595461,0.9920669783078963,0.5987740448525803,1.0995906584564774
